X,Y,id,creator
139.815034559921145,35.734570013855581,1948c0d7-2879-426a-b087-30faa9ba57b3,3木
139.744568074721087,35.717548277121857,ffcfd207-ebd5-48b5-87fe-738ebcd4e63e,菊千代
139.763014103803613,35.700415136395101,25aa79eb-e6e0-4645-8ee6-d847b5d2482a,灯
139.78305259582848,35.681984818785203,2dbefbcf-d6c1-4163-8b55-864653a109ae,タケノコ
139.75323,35.64631,f0f3d0eb-40ee-47d5-9d5f-471360e33af6,綺月るり
139.704756501161711,35.650611156446153,e88f3034-bd38-4c85-b5c6-4592730f91bc,うん仔
139.724927698431799,35.625266040183206,9bb8aca9-91b4-4f11-aa25-85efafd65b9e,さつま揚げ
139.653797687005749,35.71733278878876,e16cf2f7-e42e-41ea-a493-0069ebb45b3e,一柳眞木
139.711524468666852,35.740602161388175,7786de0e-fd53-4e77-8844-26ce6328798d,北尾タキ
139.78059,35.66364,79722d92-ddd4-4f81-86c3-4a881d4e5154,森島明子
139.721211951566289,35.664951851490983,68734212-aa5f-44c9-9405-a776665fa7d2,鹿嵐
139.690955155661186,35.685649665568477,5bf39639-2362-47dd-9cbc-e51a66600b87,竹宮ジン
139.702898627729013,35.703324797229662,36fc981a-33ee-47f0-ab72-f13b896ac5f7,百乃モト
139.68286013570409,35.729399237980985,1b7facee-a00c-42c7-a652-dbcf92bf72c9,奥たまむし
139.626194996004585,35.729506965902523,66d38e50-52c1-49ee-b923-2efd801f9187,吉沢蛍
139.606156503979719,35.532121214956916,789eacf4-535f-4dcf-b6d3-a8c14f51082b,西UKO
